size of int array, time for copying into enclave (TE-seconds),TE-ms,TE-ns,time for copying to other untrusted memory region(TO-s),TO-ms,TO-ns,kb,mb
75264,0,0,217370,0,0,20897,294,0
75520,0,0,217901,0,0,20917,295,0
75776,0,0,228438,0,0,23030,296,0
76032,0,0,254816,0,0,21201,297,0
76288,0,0,221756,0,0,21172,298,0
76544,0,0,225707,0,0,21451,299,0
76800,0,0,232684,0,0,23314,300,0
77056,0,0,223361,0,0,21469,301,0
77312,0,0,226131,0,0,21482,302,0
77568,0,0,226467,0,0,21473,303,0
77824,0,0,234874,0,0,26403,304,0
78080,0,0,226760,0,0,47629,305,0
78336,0,0,228596,0,0,21940,306,0
78592,0,0,228216,0,0,22106,307,0
78848,0,0,236434,0,0,24159,308,0
79104,0,0,228234,0,0,23336,309,0
79360,0,0,231026,0,0,21903,310,0
79616,0,0,232304,0,0,22263,311,0
79872,0,0,263532,0,0,24432,312,0
80128,0,0,234931,0,0,22178,313,0
80384,0,0,237724,0,0,22296,314,0
80640,0,0,238603,0,0,22348,315,0
80896,0,0,248361,0,0,24434,316,0
81152,0,0,239233,0,0,22772,317,0
81408,0,0,264562,0,0,22609,318,0
81664,0,0,248410,0,0,22877,319,0
81920,0,0,251420,0,0,25269,320,0
82176,0,0,244477,0,0,23136,321,0
82432,0,0,244160,0,0,23325,322,0
82688,0,0,245976,0,0,22873,323,0
82944,0,0,278173,0,0,24909,324,0
83200,0,0,246334,0,0,23760,325,0
83456,0,0,248596,0,0,23766,326,0
83712,0,0,249781,0,0,23566,327,0
83968,0,0,258704,0,0,25835,328,0
84224,0,0,250043,0,0,23363,329,0
84480,0,0,270124,0,0,23338,330,0
84736,0,0,253451,0,0,23740,331,0
84992,0,0,261563,0,0,25366,332,0
85248,0,0,254174,0,0,23686,333,0
85504,0,0,259550,0,0,23660,334,0
85760,0,0,283532,0,0,23539,335,0
86016,0,0,266472,0,0,25742,336,0
86272,0,0,259545,0,0,23999,337,0
86528,0,0,260429,0,0,24185,338,0
86784,0,0,262661,0,0,24056,339,0
87040,0,0,396910,0,0,65832,340,0
87296,0,0,285181,0,0,24762,341,0
87552,0,0,266311,0,0,24351,342,0
87808,0,0,265958,0,0,24855,343,0
88064,0,0,273289,0,0,27439,344,0
88320,0,0,269505,0,0,24619,345,0
88576,0,0,293215,0,0,24885,346,0
88832,0,0,268668,0,0,24699,347,0
89088,0,0,276193,0,0,26636,348,0
89344,0,0,268113,0,0,25382,349,0
89600,0,0,271083,0,0,24671,350,0
89856,0,0,295163,0,0,25714,351,0
90112,0,0,281738,0,0,27016,352,0
90368,0,0,274864,0,0,25309,353,0
90624,0,0,273948,0,0,25685,354,0
90880,0,0,284368,0,0,52112,355,0
91136,0,0,285150,0,0,27258,356,0
91392,0,0,277172,0,0,26143,357,0
91648,0,0,277521,0,0,25870,358,0
91904,0,0,285239,0,0,25888,359,0
92160,0,0,287432,0,0,27905,360,0
92416,0,0,278822,0,0,25877,361,0
92672,0,0,306125,0,0,26000,362,0
92928,0,0,277826,0,0,25843,363,0
93184,0,0,290799,0,0,28384,364,0
93440,0,0,285825,0,0,26912,365,0
93696,0,0,284742,0,0,25926,366,0
93952,0,0,312433,0,0,26454,367,0
94208,0,0,294023,0,0,28242,368,0
94464,0,0,289439,0,0,26301,369,0
94720,0,0,287981,0,0,26856,370,0
94976,0,0,287672,0,0,26702,371,0
95232,0,0,329125,0,0,28349,372,0
95488,0,0,292464,0,0,26461,373,0
95744,0,0,290919,0,0,27664,374,0
96000,0,0,291393,0,0,26970,375,0
96256,0,0,305674,0,0,28665,376,0
96512,0,0,322940,0,0,27099,377,0
96768,0,0,294193,0,0,27382,378,0
97024,0,0,296339,0,0,27403,379,0
97280,0,0,303508,0,0,29126,380,0
97536,0,0,297751,0,0,27549,381,0
97792,0,0,326900,0,0,27317,382,0
98048,0,0,301460,0,0,27258,383,0
98304,0,0,316360,0,0,29453,384,0
98560,0,0,303971,0,0,28003,385,0
98816,0,0,306518,0,0,27932,386,0
99072,0,0,325874,0,0,27752,387,0
99328,0,0,312966,0,0,30036,388,0
99584,0,0,306576,0,0,27968,389,0
99840,0,0,307999,0,0,27756,390,0
100096,0,0,306390,0,0,28334,391,0
100352,0,0,337701,0,0,30420,392,0
100608,0,0,310049,0,0,28591,393,0
100864,0,0,309293,0,0,28056,394,0
101120,0,0,315574,0,0,32863,395,0
101376,0,0,398824,0,0,41672,396,0
101632,0,0,323363,0,0,32108,397,0
101888,0,0,320718,0,0,29659,398,0
102144,0,0,315599,0,0,28999,399,0
102400,0,0,332472,0,0,31396,400,0
102656,0,0,335962,0,0,28531,401,0
102912,0,0,323418,0,0,28908,402,0
103168,0,0,320558,0,0,32206,403,0
103424,0,0,338743,0,0,61107,404,0
103680,0,0,322796,0,0,29397,405,0
103936,0,0,334158,0,0,29093,406,0
104192,0,0,326021,0,0,29138,407,0
104448,0,0,335052,0,0,31994,408,0
104704,0,0,355417,0,0,33980,409,0
104960,0,0,327178,0,0,29207,410,0
105216,0,0,328359,0,0,29562,411,0
105472,0,0,337688,0,0,31658,412,0
105728,0,0,329041,0,0,41745,413,0
105984,0,0,346133,0,0,32580,414,0
106240,0,0,340082,0,0,32791,415,0
106496,0,0,357382,0,0,40741,416,0
106752,0,0,360192,0,0,33453,417,0
107008,0,0,337675,0,0,31927,418,0
107264,0,0,336778,0,0,30941,419,0
107520,0,0,349172,0,0,33878,420,0
107776,0,0,334283,0,0,30025,421,0
108032,0,0,337726,0,0,30595,422,0
108288,0,0,337063,0,0,29946,423,0
108544,0,0,347899,0,0,32489,424,0
108800,0,0,338639,0,0,30227,425,0
109056,0,0,339629,0,0,30537,426,0
109312,0,0,350234,0,0,30497,427,0
109568,0,0,350652,0,0,33216,428,0
109824,0,0,341629,0,0,31009,429,0
110080,0,0,342249,0,0,30990,430,0
